Time(s)	Ch1 (FF)	Ch2 (FF)	Ch3 (BF)
22.03	-1.2315	0.2263	1.6097
22.04	-1.233	0.2265	1.6098
22.05	-1.2345	0.2268	1.6098
22.06	-1.236	0.227	1.6098
22.07	-1.2375	0.2272	1.6098
22.08	-1.2389	0.2275	1.6098
22.09	-1.2403	0.2277	1.6097
22.1	-1.2417	0.2279	1.6097
22.11	-1.2431	0.2282	1.6097
22.12	-1.2445	0.2284	1.6097
22.13	-1.2459	0.2287	1.6097
22.14	-1.2472	0.229	1.6097
22.15	-1.2486	0.2292	1.6097
22.16	-1.2499	0.2294	1.6097
22.17	-1.2513	0.2297	1.6097
22.18	-1.2526	0.2299	1.6097
22.19	-1.2539	0.2302	1.6097
22.2	-1.2551	0.2304	1.6096
22.21	-1.2564	0.2307	1.6096
22.22	-1.2577	0.231	1.6096
22.23	-1.259	0.2313	1.6095
22.24	-1.2602	0.2317	1.6095
22.25	-1.2614	0.232	1.6095
22.26	-1.2626	0.2324	1.6095
22.27	-1.2638	0.2328	1.6095
22.28	-1.265	0.2332	1.6095
22.29	-1.2662	0.2336	1.6095
22.3	-1.2674	0.2341	1.6095
22.31	-1.2685	0.2347	1.6095
22.32	-1.2697	0.2353	1.6095
22.33	-1.2708	0.236	1.6095
22.34	-1.272	0.2367	1.6095
22.35	-1.2731	0.2376	1.6095
22.36	-1.2742	0.2385	1.6095
22.37	-1.2753	0.2393	1.6095
22.38	-1.2764	0.2402	1.6095
22.39	-1.2775	0.2417	1.6095
22.4	-1.2786	0.2433	1.6095
22.41	-1.2797	0.2453	1.6095
22.42	-1.2807	0.2482	1.6095
22.43	-1.2818	0.2519	1.6095
22.44	-1.2828	0.2569	1.6095
22.45	-1.2839	0.2633	1.6095
22.46	-1.2849	0.2709	1.6095
22.47	-1.286	0.2805	1.6096
22.48	-1.287	0.2933	1.6096
22.49	-1.288	0.3092	1.6096
22.5	-1.2891	0.3287	1.6096
22.51	-1.2901	0.353	1.6095
22.52	-1.2911	0.3826	1.6095
22.53	-1.2921	0.4182	1.6094
22.54	-1.2931	0.4611	1.6094
22.55	-1.2941	0.512	1.6094
22.56	-1.2951	0.5714	1.6094
22.57	-1.2961	0.6404	1.6094
22.58	-1.297	0.7198	1.6094
22.59	-1.298	0.81	1.6094
22.6	-1.2989	0.9115	1.6094
22.61	-1.2998	1.0248	1.6094
22.62	-1.3007	1.15	1.6094
22.63	-1.3016	1.2863	1.6094
22.64	-1.3026	1.433	1.6093
22.65	-1.3034	1.5891	1.6093
22.66	-1.3043	1.7527	1.6092
22.67	-1.3051	1.9201	1.6092
22.68	-1.306	2.068	1.6092
22.69	-1.3068	2.267	1.6091
22.7	-1.3077	2.4523	1.6091
22.71	-1.3085	2.6265	1.6091
22.72	-1.3094	2.7926	1.6091
22.73	-1.3102	2.9477	1.6091
22.74	-1.311	3.0892	1.6091
22.75	-1.3118	3.2151	1.6091
22.76	-1.3126	3.3224	1.6091
22.77	-1.3134	3.4089	1.609
22.78	-1.3142	3.4729	1.609
22.79	-1.3149	3.5131	1.6089
22.8	-1.3157	3.5291	1.6089
22.81	-1.3164	3.5206	1.6088
22.82	-1.3172	3.488	1.6088
22.83	-1.318	3.4323	1.6087
22.84	-1.3188	3.355	1.6087
22.85	-1.3196	3.2581	1.6087
22.86	-1.3203	3.1435	1.6086
22.87	-1.321	3.0138	1.6086
22.88	-1.3217	2.8716	1.6085
22.89	-1.3224	2.7198	1.6085
22.9	-1.3231	2.5611	1.6084
22.91	-1.3238	2.3988	1.6084
22.92	-1.3245	2.237	1.6083
22.93	-1.3252	2.0914	1.6083
22.94	-1.3258	1.9184	1.6082
22.95	-1.3265	1.7511	1.6081
22.96	-1.3272	1.5982	1.6081
22.97	-1.3278	1.4545	1.608
22.98	-1.3285	1.3197	1.6079
22.99	-1.3291	1.1943	1.6078
23.0	-1.3298	1.0788	1.6078
23.01	-1.3304	0.9731	1.6077
23.02	-1.331	0.8771	1.6077
23.03	-1.3317	0.7907	1.6077
23.04	-1.3323	0.7137	1.6076
23.05	-1.3329	0.6458	1.6076
23.06	-1.3336	0.5861	1.6075
23.07	-1.3342	0.5338	1.6074
23.08	-1.3348	0.4886	1.6073
23.09	-1.3354	0.4499	1.6073
23.1	-1.336	0.4168	1.6072
23.11	-1.3366	0.389	1.6072
23.12	-1.3372	0.3653	1.6072
23.13	-1.3378	0.3452	1.6072
23.14	-1.3383	0.3288	1.6072
23.15	-1.3389	0.3152	1.6072
23.16	-1.3394	0.3039	1.6072
23.17	-1.34	0.2947	1.6072
23.18	-1.3406	0.2874	1.6072
23.19	-1.3411	0.2814	1.6072
23.2	-1.3417	0.2766	1.6072
23.21	-1.3422	0.2728	1.6072
23.22	-1.3427	0.2696	1.6072
23.23	-1.3433	0.2668	1.6072
23.24	-1.3438	0.2646	1.6072
23.25	-1.3443	0.2629	1.6073
23.26	-1.3448	0.2616	1.6073
23.27	-1.3453	0.2607	1.6073
23.28	-1.3458	0.26	1.6073
23.29	-1.3463	0.2595	1.6074
23.3	-1.3468	0.2591	1.6074
23.31	-1.3473	0.2589	1.6074
23.32	-1.3478	0.2589	1.6074
23.33	-1.3483	0.2588	1.6074
23.34	-1.3488	0.2589	1.6074
23.35	-1.3493	0.259	1.6074
23.36	-1.3498	0.259	1.6075
23.37	-1.3502	0.2591	1.6075
23.38	-1.3507	0.2593	1.6076
23.39	-1.3512	0.2595	1.6076
23.4	-1.3516	0.2598	1.6077
23.41	-1.3521	0.26	1.6077
23.42	-1.3525	0.2603	1.6078
23.43	-1.353	0.2606	1.6078
23.44	-1.3534	0.2609	1.6079
23.45	-1.3539	0.2612	1.608
23.46	-1.3543	0.2615	1.6082
23.47	-1.3547	0.2618	1.6083
23.48	-1.3552	0.2621	1.6085
23.49	-1.3556	0.2624	1.6087
23.5	-1.356	0.2628	1.6089
23.51	-1.3564	0.2631	1.6092
23.52	-1.3568	0.2634	1.6095
23.53	-1.3572	0.2638	1.6099
23.54	-1.3576	0.2641	1.6104
23.55	-1.358	0.2645	1.6109
23.56	-1.3584	0.2648	1.6114
23.57	-1.3588	0.2651	1.6119
23.58	-1.3592	0.2655	1.6125
23.59	-1.3595	0.2659	1.6133
23.6	-1.3599	0.2663	1.6141
23.61	-1.3603	0.2666	1.615
23.62	-1.3607	0.267	1.6161
23.63	-1.3611	0.2673	1.6174
23.64	-1.3615	0.2676	1.6189
23.65	-1.3619	0.268	1.6207
23.66	-1.3623	0.2683	1.6227
23.67	-1.3626	0.2687	1.6248
23.68	-1.363	0.269	1.6272
23.69	-1.3634	0.2693	1.6297
23.7	-1.3637	0.2696	1.6325
23.71	-1.3641	0.27	1.6357
23.72	-1.3645	0.2704	1.6394
23.73	-1.3648	0.2707	1.6431
23.74	-1.3652	0.271	1.6472
23.75	-1.3656	0.2713	1.6519
23.76	-1.366	0.2716	1.6571
23.77	-1.3663	0.2718	1.6626
23.78	-1.3667	0.2722	1.6687
23.79	-1.367	0.2725	1.6752
23.8	-1.3673	0.2728	1.6823
23.81	-1.3676	0.273	1.6901
23.82	-1.368	0.2733	1.6986
23.83	-1.3683	0.2735	1.7073
23.84	-1.3686	0.2738	1.7165
23.85	-1.3689	0.2741	1.7266
23.86	-1.3693	0.2744	1.7371
23.87	-1.3696	0.2748	1.748
23.88	-1.3699	0.2752	1.7598
23.89	-1.3701	0.2756	1.7722
23.9	-1.3704	0.2762	1.7852
23.91	-1.3707	0.2768	1.799
23.92	-1.371	0.2773	1.8133
23.93	-1.3713	0.2777	1.8281
23.94	-1.3716	0.2782	1.8433
23.95	-1.3718	0.2788	1.8591
23.96	-1.3721	0.2795	1.8752
23.97	-1.3724	0.2807	1.8915
23.98	-1.3727	0.2823	1.9078
23.99	-1.3729	0.2841	1.9242
24.0	-1.3732	0.2864	1.9407
24.01	-1.3735	0.2899	1.957
24.02	-1.3738	0.2946	1.9732
24.03	-1.3741	0.3001	1.9905
24.04	-1.3743	0.3067	2.0087
24.05	-1.3746	0.3152	2.0268
24.06	-1.3748	0.326	2.0442
24.07	-1.3751	0.3395	2.061
24.08	-1.3754	0.3561	2.0772
24.09	-1.3756	0.3765	2.0927
24.1	-1.3759	0.4011	2.1076
24.11	-1.3762	0.4309	2.1214
24.12	-1.3764	0.4664	2.1343
24.13	-1.3767	0.5082	2.1466
24.14	-1.377	0.557	2.1578
24.15	-1.3772	0.6139	2.1678
24.16	-1.3774	0.6795	2.1768
24.17	-1.3776	0.7539	2.1846
24.18	-1.3779	0.8381	2.191
24.19	-1.3781	0.9328	2.196
24.2	-1.3783	1.0378	2.1997
24.21	-1.3785	1.1531	2.2022
24.22	-1.3787	1.2783	2.2035
24.23	-1.379	1.4129	2.2035
24.24	-1.3792	1.5556	2.2019
24.25	-1.3794	1.7051	2.1991
24.26	-1.3796	1.8598	2.1949
24.27	-1.3798	2.012	2.1892
24.28	-1.3801	2.1682	2.1822
24.29	-1.3803	2.3474	2.1743
24.3	-1.3805	2.5121	2.1655
24.31	-1.3807	2.6694	2.1553
24.32	-1.3809	2.8189	2.144
24.33	-1.3811	2.9582	2.1318
24.34	-1.3813	3.0846	2.1188
24.35	-1.3815	3.1959	2.105
24.36	-1.3817	3.29	2.0902
24.37	-1.3819	3.3652	2.0747
24.38	-1.3822	3.4204	2.0591
24.39	-1.3824	3.4545	2.0434
24.4	-1.3826	3.467	2.0273
24.41	-1.3829	3.458	2.0107
24.42	-1.3831	3.4276	1.994
24.43	-1.3833	3.3765	1.9774
24.44	-1.3835	3.3061	1.9613
24.45	-1.3837	3.2182	1.9452
24.46	-1.3839	3.1144	1.9281
24.47	-1.3841	2.997	1.9104
24.48	-1.3842	2.8681	1.8929
24.49	-1.3844	2.73	1.8759
24.5	-1.3846	2.5851	1.8592
24.51	-1.3848	2.4359	1.843
24.52	-1.385	2.2855	1.8276
24.53	-1.3851	2.1399	1.8128
24.54	-1.3853	2.001	1.7987
24.55	-1.3854	1.8349	1.7852
24.56	-1.3856	1.6869	1.7724
24.57	-1.3858	1.5482	1.7604
24.58	-1.386	1.4176	1.7487
24.59	-1.3861	1.2952	1.7373
24.6	-1.3863	1.1814	1.7266
24.61	-1.3864	1.0763	1.7167
24.62	-1.3866	0.9796	1.707
24.63	-1.3868	0.8917	1.6979
24.64	-1.3869	0.8125	1.6895
24.65	-1.387	0.7414	1.6819
24.66	-1.3871	0.6776	1.6749
24.67	-1.3872	0.6216	1.6685
24.68	-1.3873	0.5728	1.6626
24.69	-1.3875	0.5303	1.6569
24.7	-1.3876	0.4935	1.6516
24.71	-1.3877	0.462	1.6467
24.72	-1.3878	0.435	1.6423
24.73	-1.388	0.412	1.6381
24.74	-1.3881	0.3926	1.6342
24.75	-1.3882	0.3759	1.6307
24.76	-1.3883	0.3619	1.6278
24.77	-1.3884	0.3507	1.6251
24.78	-1.3885	0.3418	1.6226
24.79	-1.3886	0.3342	1.6203
24.8	-1.3887	0.328	1.6182
24.81	-1.3888	0.3232	1.6164
24.82	-1.3889	0.3194	1.6148
24.83	-1.389	0.3163	1.6134
24.84	-1.3891	0.3138	1.6121
24.85	-1.3892	0.3116	1.6109
24.86	-1.3893	0.3099	1.6097
24.87	-1.3894	0.3088	1.6088
24.88	-1.3896	0.3081	1.6079
24.89	-1.3897	0.3076	1.6071
24.9	-1.3898	0.3072	1.6064
24.91	-1.39	0.307	1.6058
24.92	-1.3901	0.3069	1.6053
24.93	-1.3902	0.307	1.6048
24.94	-1.3903	0.3071	1.6045
24.95	-1.3905	0.3072	1.6042
24.96	-1.3906	0.3074	1.604
24.97	-1.3907	0.3076	1.6038
24.98	-1.3908	0.3079	1.6036
24.99	-1.391	0.3083	1.6035
25.0	-1.3911	0.3088	1.6034
25.01	-1.3912	0.3093	1.6034
25.02	-1.3914	0.3098	1.6033
25.03	-1.3916	0.3103	1.6032
25.04	-1.3917	0.3108	1.6031
25.05	-1.3918	0.3113	1.603
25.06	-1.3919	0.3118	1.6029
25.07	-1.392	0.3123	1.6029
25.08	-1.3921	0.3129	1.6028
25.09	-1.3923	0.3134	1.6028
25.1	-1.3924	0.3139	1.6028
25.11	-1.3925	0.3144	1.6028
25.12	-1.3926	0.315	1.6028
25.13	-1.3927	0.3155	1.6028
25.14	-1.3928	0.3161	1.6028
25.15	-1.3929	0.3166	1.6028
25.16	-1.393	0.3172	1.6028
25.17	-1.3931	0.3177	1.6028
25.18	-1.3932	0.3182	1.6028
25.19	-1.3932	0.3187	1.6028
25.2	-1.3933	0.3192	1.6028
25.21	-1.3934	0.3196	1.6027
25.22	-1.3935	0.3201	1.6027
25.23	-1.3936	0.3206	1.6027
25.24	-1.3936	0.3211	1.6027
25.25	-1.3937	0.3216	1.6026
25.26	-1.3938	0.3221	1.6026
25.27	-1.394	0.3225	1.6026
25.28	-1.3941	0.323	1.6026
25.29	-1.3941	0.3234	1.6026
25.3	-1.3942	0.3239	1.6025
25.31	-1.3943	0.3243	1.6025
25.32	-1.3944	0.3247	1.6025
25.33	-1.3945	0.3252	1.6024
25.34	-1.3947	0.3256	1.6024
25.35	-1.3948	0.3261	1.6024
25.36	-1.3949	0.3265	1.6023
25.37	-1.395	0.327	1.6022
25.38	-1.3951	0.3274	1.6022
25.39	-1.3952	0.3279	1.6021
25.4	-1.3953	0.3284	1.602
25.41	-1.3954	0.3288	1.602
25.42	-1.3955	0.3293	1.6019
25.43	-1.3956	0.3297	1.6019
25.44	-1.3958	0.3302	1.6019
25.45	-1.3959	0.3307	1.6018
25.46	-1.396	0.3312	1.6018
25.47	-1.3961	0.3317	1.6018
25.48	-1.3961	0.3322	1.6017
25.49	-1.3962	0.3327	1.6017
25.5	-1.3963	0.3332	1.6016
25.51	-1.3964	0.3338	1.6016
25.52	-1.3965	0.3343	1.6015
25.53	-1.3966	0.3349	1.6015
25.54	-1.3966	0.3354	1.6014
25.55	-1.3967	0.3359	1.6014
25.56	-1.3968	0.3364	1.6014
25.57	-1.397	0.337	1.6014
25.58	-1.3971	0.3375	1.6014
25.59	-1.3972	0.3381	1.6013
25.6	-1.3972	0.3386	1.6013
25.61	-1.3973	0.3392	1.6012
25.62	-1.3974	0.3398	1.6012
25.63	-1.3975	0.3404	1.6011
25.64	-1.3976	0.341	1.6011
25.65	-1.3978	0.3416	1.6011
25.66	-1.3979	0.3422	1.601
25.67	-1.398	0.3428	1.601
25.68	-1.3981	0.3434	1.601
25.69	-1.3982	0.344	1.601
25.7	-1.3983	0.3446	1.6009
25.71	-1.3983	0.3453	1.6009
25.72	-1.3984	0.346	1.6008
25.73	-1.3985	0.3467	1.6008
25.74	-1.3986	0.3475	1.6007
25.75	-1.3987	0.3483	1.6006
25.76	-1.3988	0.3492	1.6006
25.77	-1.3989	0.3501	1.6005
25.78	-1.399	0.3509	1.6005
25.79	-1.3991	0.3518	1.6004
25.8	-1.3992	0.3526	1.6003
25.81	-1.3992	0.3536	1.6003
25.82	-1.3993	0.3548	1.6002
25.83	-1.3994	0.3563	1.6001
25.84	-1.3995	0.3578	1.6
25.85	-1.3996	0.3598	1.5999
25.86	-1.3996	0.3622	1.5999
25.87	-1.3997	0.3651	1.5998
25.88	-1.3998	0.3687	1.5997
25.89	-1.3998	0.373	1.5997
25.9	-1.3999	0.3778	1.5996
25.91	-1.4	0.3832	1.5995
25.92	-1.4001	0.389	1.5994
25.93	-1.4002	0.3946	1.5994
25.94	-1.4002	0.3993	1.5994
25.95	-1.4003	0.406	1.5994
25.96	-1.4004	0.4156	1.5994
25.97	-1.4004	0.4257	1.5993
25.98	-1.4005	0.4344	1.5993
25.99	-1.4005	0.4417	1.5993
26.0	-1.4006	0.4472	1.5993
26.01	-1.4006	0.4511	1.5992
26.02	-1.4007	0.4534	1.5992
26.03	-1.4007	0.4541	1.5992
26.04	-1.4008	0.4529	1.5992
26.05	-1.4008	0.4494	1.5992
26.06	-1.4009	0.4442	1.5992
26.07	-1.4009	0.4378	1.5993
26.08	-1.401	0.4298	1.5993
26.09	-1.401	0.4209	1.5993
26.1	-1.401	0.4113	1.5993
26.11	-1.4011	0.4016	1.5993
26.12	-1.4011	0.3925	1.5993
26.13	-1.4012	0.3849	1.5993
26.14	-1.4012	0.3766	1.5993
26.15	-1.4013	0.3655	1.5993
26.16	-1.4013	0.3542	1.5993
26.17	-1.4014	0.3445	1.5993
26.18	-1.4014	0.3368	1.5993
26.19	-1.4014	0.3307	1.5993
26.2	-1.4015	0.3253	1.5993
26.21	-1.4015	0.3205	1.5994
26.22	-1.4016	0.3164	1.5994
26.23	-1.4016	0.3131	1.5994
26.24	-1.4017	0.3099	1.5994
26.25	-1.4017	0.3069	1.5994
26.26	-1.4018	0.3042	1.5994
26.27	-1.4018	0.3019	1.5993
26.28	-1.4018	0.2997	1.5993
26.29	-1.4019	0.2975	1.5993
26.3	-1.4019	0.2955	1.5993
26.31	-1.402	0.2937	1.5993
26.32	-1.4022	0.2919	1.5993
26.33	-1.4023	0.2903	1.5993
26.34	-1.4025	0.289	1.5993
26.35	-1.4027	0.2878	1.5993
26.36	-1.4028	0.2867	1.5992
26.37	-1.403	0.2858	1.5992
26.38	-1.4032	0.2851	1.5992
26.39	-1.4032	0.2843	1.5991
26.4	-1.4034	0.2836	1.599
26.41	-1.4035	0.283	1.5989
26.42	-1.4039	0.2826	1.5988
26.43	-1.4043	0.2823	1.5988
26.44	-1.4047	0.2821	1.5987
26.45	-1.4052	0.2821	1.5986
26.46	-1.4057	0.2821	1.5986
26.47	-1.4062	0.2822	1.5985
26.48	-1.4067	0.2823	1.5985
26.49	-1.4073	0.2824	1.5984
26.5	-1.408	0.2826	1.5983
26.51	-1.4086	0.2827	1.5982
26.52	-1.4093	0.2828	1.5982
26.53	-1.41	0.2829	1.5981
26.54	-1.4106	0.283	1.598
26.55	-1.4111	0.2832	1.598
26.56	-1.4114	0.2834	1.5979
26.57	-1.4117	0.2836	1.5978
26.58	-1.412	0.2838	1.5978
26.59	-1.4123	0.2839	1.5978
26.6	-1.4125	0.284	1.5978
26.61	-1.4127	0.2842	1.5977
26.62	-1.4129	0.2843	1.5977
26.63	-1.413	0.2843	1.5976
26.64	-1.4132	0.2843	1.5976
26.65	-1.4133	0.2842	1.5976
26.66	-1.4133	0.2841	1.5976
26.67	-1.4133	0.284	1.5976
26.68	-1.4134	0.2839	1.5976
26.69	-1.4134	0.2838	1.5976
26.7	-1.4134	0.2836	1.5976
26.71	-1.4134	0.2835	1.5976
26.72	-1.4133	0.2834	1.5976
26.73	-1.4133	0.2833	1.5976
26.74	-1.4133	0.2831	1.5975
26.75	-1.4132	0.2828	1.5975
26.76	-1.4132	0.2826	1.5975
26.77	-1.4132	0.2825	1.5974
26.78	-1.4131	0.2823	1.5974
26.79	-1.4131	0.2822	1.5973
26.8	-1.4131	0.2822	1.5972
26.81	-1.4131	0.2822	1.5972
26.82	-1.4131	0.2822	1.5971
26.83	-1.4131	0.2822	1.597
26.84	-1.4131	0.2823	1.5969
26.85	-1.4131	0.2824	1.5968
26.86	-1.4131	0.2825	1.5967
26.87	-1.4131	0.2826	1.5966
26.88	-1.4131	0.2827	1.5966
26.89	-1.4131	0.2829	1.5965
26.9	-1.4131	0.2831	1.5964
26.91	-1.4131	0.2834	1.5963
26.92	-1.4132	0.2836	1.5962
26.93	-1.4132	0.2838	1.5961
26.94	-1.4132	0.284	1.596
26.95	-1.4132	0.2843	1.5959
26.96	-1.4133	0.2845	1.5958
26.97	-1.4134	0.2848	1.5958
26.98	-1.4134	0.285	1.5957
26.99	-1.4135	0.2853	1.5956
27.0	-1.4136	0.2855	1.5955
27.01	-1.4136	0.2858	1.5955
27.02	-1.4136	0.286	1.5954
27.03	-1.4136	0.2863	1.5953
27.04	-1.4136	0.2865	1.5953
27.05	-1.4136	0.2867	1.5952
27.06	-1.4136	0.287	1.5951
27.07	-1.4136	0.2872	1.595
27.08	-1.4136	0.2875	1.595
27.09	-1.4136	0.2877	1.5949
27.1	-1.4136	0.2879	1.5949
27.11	-1.4136	0.2881	1.5948
27.12	-1.4136	0.2884	1.5948
27.13	-1.4136	0.2886	1.5947
27.14	-1.4136	0.2888	1.5947
27.15	-1.4136	0.289	1.5946
27.16	-1.4136	0.2893	1.5946
27.17	-1.4136	0.2895	1.5945
27.18	-1.4136	0.2897	1.5945
27.19	-1.4136	0.2899	1.5944
27.2	-1.4136	0.2901	1.5944
27.21	-1.4136	0.2903	1.5944
27.22	-1.4136	0.2905	1.5944
27.23	-1.4137	0.2908	1.5944
27.24	-1.4137	0.2911	1.5944
27.25	-1.4137	0.2914	1.5944
27.26	-1.4138	0.2916	1.5943
27.27	-1.4138	0.2919	1.5944
27.28	-1.4138	0.2923	1.5943
27.29	-1.4138	0.2926	1.5943
27.3	-1.4139	0.293	1.5943
27.31	-1.4139	0.2933	1.5942
27.32	-1.4139	0.2937	1.5942
27.33	-1.4139	0.2942	1.5941
27.34	-1.414	0.2948	1.5941
27.35	-1.414	0.2953	1.5941
27.36	-1.4141	0.2959	1.5941
27.37	-1.4141	0.2965	1.5941
27.38	-1.4141	0.2971	1.5941
27.39	-1.4142	0.2977	1.5941
27.4	-1.4142	0.2985	1.594
27.41	-1.4142	0.2996	1.5939
27.42	-1.4142	0.3008	1.5938
27.43	-1.4143	0.3022	1.5937
27.44	-1.4143	0.3038	1.5936
27.45	-1.4143	0.3056	1.5935
27.46	-1.4144	0.3076	1.5934
27.47	-1.4144	0.3098	1.5933
27.48	-1.4144	0.312	1.5932
27.49	-1.4144	0.3143	1.5932
27.5	-1.4144	0.3166	1.5931
27.51	-1.4144	0.3188	1.593
27.52	-1.4144	0.3211	1.5929
27.53	-1.4144	0.3238	1.5928
27.54	-1.4144	0.3268	1.5927
27.55	-1.4144	0.3299	1.5926
27.56	-1.4145	0.3329	1.5926
27.57	-1.4144	0.3357	1.5925
27.58	-1.4144	0.3381	1.5924
27.59	-1.4144	0.34	1.5924
27.6	-1.4144	0.3414	1.5924
27.61	-1.4144	0.3424	1.5923
27.62	-1.4144	0.3431	1.5923
27.63	-1.4144	0.3436	1.5922
27.64	-1.4144	0.3436	1.5921
27.65	-1.4143	0.3433	1.5921
27.66	-1.4143	0.3427	1.592
27.67	-1.4143	0.3418	1.592
27.68	-1.4143	0.3409	1.592
27.69	-1.4142	0.3401	1.592
27.7	-1.4142	0.3391	1.592
27.71	-1.4141	0.3382	1.5919
27.72	-1.4141	0.3373	1.5919
27.73	-1.414	0.3364	1.5918
27.74	-1.414	0.3356	1.5918
27.75	-1.414	0.3347	1.5917
27.76	-1.4139	0.3337	1.5916
27.77	-1.4139	0.3326	1.5916
27.78	-1.4139	0.3315	1.5915
27.79	-1.4139	0.3305	1.5915
27.8	-1.4138	0.3296	1.5914
27.81	-1.4138	0.3287	1.5914
27.82	-1.4138	0.328	1.5913
27.83	-1.4138	0.3274	1.5912
27.84	-1.4138	0.3268	1.5912
27.85	-1.4138	0.3263	1.5911
27.86	-1.4137	0.3259	1.591
27.87	-1.4137	0.3255	1.591
27.88	-1.4136	0.3251	1.5909
27.89	-1.4136	0.3247	1.5908
27.9	-1.4136	0.3244	1.5907
27.91	-1.4137	0.3242	1.5907
27.92	-1.4137	0.324	1.5906
27.93	-1.4136	0.3239	1.5905
27.94	-1.4136	0.3238	1.5904
27.95	-1.4136	0.3237	1.5903
27.96	-1.4137	0.3236	1.5903
27.97	-1.4136	0.3236	1.5902
27.98	-1.4136	0.3236	1.5902
27.99	-1.4136	0.3235	1.5901
28.0	-1.4136	0.3234	1.59
28.01	-1.4137	0.3234	1.5898
28.02	-1.4138	0.3233	1.5897
28.03	-1.4138	0.3233	1.5896
28.04	-1.4138	0.3233	1.5895
28.05	-1.4138	0.3233	1.5894
28.06	-1.4138	0.3234	1.5894
28.07	-1.4138	0.3234	1.5893
28.08	-1.4138	0.3234	1.5892
28.09	-1.4138	0.3235	1.5891
28.1	-1.4138	0.3235	1.589
28.11	-1.4139	0.3236	1.5889
28.12	-1.414	0.3236	1.5888
28.13	-1.414	0.3237	1.5887
28.14	-1.4141	0.3237	1.5886
28.15	-1.4142	0.3238	1.5885
28.16	-1.4142	0.3238	1.5884
28.17	-1.4143	0.3239	1.5883
28.18	-1.4143	0.324	1.5882
28.19	-1.4144	0.324	1.5881
28.2	-1.4144	0.3241	1.588
28.21	-1.4144	0.3242	1.5879
28.22	-1.4145	0.3243	1.5878
28.23	-1.4145	0.3244	1.5877
28.24	-1.4146	0.3245	1.5876
28.25	-1.4147	0.3246	1.5876
28.26	-1.4147	0.3247	1.5875
28.27	-1.4147	0.3248	1.5875
28.28	-1.4148	0.3248	1.5874
28.29	-1.4148	0.3249	1.5874
28.3	-1.4149	0.325	1.5873
28.31	-1.4149	0.3251	1.5872
28.32	-1.4149	0.3252	1.5871
28.33	-1.4149	0.3253	1.587
28.34	-1.4149	0.3254	1.587
28.35	-1.4149	0.3254	1.5869
28.36	-1.4149	0.3255	1.5869
28.37	-1.4149	0.3256	1.5868
28.38	-1.4148	0.3256	1.5868
28.39	-1.4148	0.3257	1.5867
28.4	-1.4148	0.3258	1.5867
28.41	-1.4148	0.3259	1.5866
28.42	-1.4148	0.326	1.5866
28.43	-1.4148	0.326	1.5865
28.44	-1.4148	0.3261	1.5865
28.45	-1.4148	0.3262	1.5864
28.46	-1.4147	0.3263	1.5863
28.47	-1.4147	0.3263	1.5862
28.48	-1.4147	0.3264	1.586
28.49	-1.4147	0.3264	1.5859
28.5	-1.4146	0.3265	1.5858
28.51	-1.4146	0.3265	1.5858
28.52	-1.4146	0.3266	1.5857
28.53	-1.4146	0.3267	1.5856
28.54	-1.4146	0.3268	1.5856
28.55	-1.4146	0.3268	1.5855
28.56	-1.4146	0.3269	1.5854
28.57	-1.4146	0.327	1.5853
28.58	-1.4146	0.327	1.5852
28.59	-1.4146	0.3271	1.5851
28.6	-1.4146	0.3271	1.585
28.61	-1.4146	0.3271	1.5849
28.62	-1.4146	0.3272	1.5849
28.63	-1.4146	0.3272	1.5848
28.64	-1.4146	0.3272	1.5848
28.65	-1.4146	0.3272	1.5848
28.66	-1.4146	0.3272	1.5848
28.67	-1.4147	0.3272	1.5847
28.68	-1.4147	0.3273	1.5847
28.69	-1.4147	0.3273	1.5847
28.7	-1.4147	0.3273	1.5847
28.71	-1.4147	0.3273	1.5846
28.72	-1.4147	0.3273	1.5846
28.73	-1.4148	0.3273	1.5846
28.74	-1.4148	0.3273	1.5845
28.75	-1.4148	0.3273	1.5845
28.76	-1.4149	0.3273	1.5844
28.77	-1.415	0.3273	1.5844
28.78	-1.415	0.3273	1.5843
28.79	-1.4151	0.3273	1.5842
28.8	-1.4151	0.3274	1.5842
28.81	-1.4151	0.3274	1.5841
28.82	-1.4151	0.3275	1.584
28.83	-1.4152	0.3275	1.5839
28.84	-1.4152	0.3276	1.5838
28.85	-1.4152	0.3276	1.5838
28.86	-1.4152	0.3276	1.5837
28.87	-1.4153	0.3276	1.5836
28.88	-1.4154	0.3276	1.5835
28.89	-1.4154	0.3276	1.5835
28.9	-1.4154	0.3277	1.5834
28.91	-1.4154	0.3277	1.5833
28.92	-1.4155	0.3278	1.5832
28.93	-1.4155	0.3278	1.5832
28.94	-1.4155	0.3279	1.5832
28.95	-1.4156	0.3279	1.5831
28.96	-1.4156	0.328	1.5831
28.97	-1.4156	0.328	1.5831
28.98	-1.4156	0.328	1.5831
28.99	-1.4156	0.3281	1.583
29.0	-1.4156	0.3282	1.583
29.01	-1.4156	0.3283	1.583
29.02	-1.4156	0.3284	1.583
29.03	-1.4156	0.3285	1.5829
29.04	-1.4157	0.3286	1.5829
29.05	-1.4157	0.3287	1.5829
29.06	-1.4157	0.3289	1.5829
29.07	-1.4157	0.3291	1.5829
29.08	-1.4157	0.3293	1.5829
29.09	-1.4157	0.3296	1.5829
